,O=C(N1CCNCC1)c2ccc(C=Cc3[nH]nc4ccccc34)cc2,O=C(Nc1c[nH]c2ncc(cc12)c3ccc(cc3)C#N)c4cccnc4
AAK1,0.0549734104136,0.0284279527968
ABL1,0.03143738392,0.000386236441118
ABL2,0.308661750217,1.74808022827e-06
ACVR1,0.183020386527,5.36476846866e-06
ACVR1B,2.65807974959e-05,5.23135977072e-06
ACVRL1,6.69189392104e-05,5.57688569864e-06
ADK,1.20448960186e-06,4.37868046516e-07
ADRBK1,8.33450486336e-06,4.56115788699e-06
AKT1,0.000642724794475,7.8364532384e-05
AKT2,0.000619862413336,1.01973670001e-07
AKT3,0.00108167622919,5.24447850684e-06
ALK,0.00230418951358,0.00630723317752
ANKK1,0.490075622954,5.63420705122e-07
ARAF,1.07015484048e-06,6.39628215908e-05
ATM,4.90474319445e-05,2.71304419046e-06
ATR,3.34118568104e-06,0.000633642425432
AURKA,0.0542356409559,0.00112493480558
AURKB,0.0525238167515,0.000823269578951
AURKC,0.0290797152381,0.000114604986096
AXL,0.000351631110738,0.018990634931
BLK,5.93012529897e-05,0.000474332057394
BMP2K,0.391415563156,8.75175246598e-06
BMPR1A,1.96036660427e-05,2.16600670374e-06
BMPR1B,0.457964804936,3.45823953377e-06
BMPR2,0.561046546829,1.78475195577e-05
BMX,2.38208540477e-05,0.00139973999106
BRAF,5.74963362496e-09,2.8705778847e-05
BRSK1,2.69703985967e-05,3.63310936616e-06
BTK,3.12756426068e-05,4.26691428878e-05
BUB1,5.19277191444e-06,2.28558548468e-06
CAMK1,8.78281770701e-07,4.53668577563e-05
CAMK1D,0.233061453321,8.50872262145e-06
CAMK2A,0.000136510294954,1.56128909523e-05
CAMK2B,0.000226632954497,2.44420202098e-05
CAMK2D,2.90631438572e-06,8.08932668739e-05
CAMK2G,4.15046177459e-06,0.00019043491592
CAMK4,1.32152882469e-05,3.06881217365e-05
CAMKK1,0.575536676706,1.04498688551e-06
CAMKK2,0.424626291235,1.11938361476e-06
CDC42BPA,1.77558554173e-06,0.000649828591859
CDC7,5.10909350108e-07,0.000760357913605
CDK1,0.0082621755042,1.16233881128e-05
CDK14,0.560658771902,1.70740405527e-06
CDK16,0.480433368974,8.98391988204e-08
CDK17,1.114046792e-05,3.80100712456e-07
CDK19,9.59538716448e-07,1.74164806485e-06
CDK2,0.0290096056345,0.00048386883765
